,Original,Summary
6782,Mempermudah pembayaran,Mempermudah pembayaran
6783,Bagus sistem mudah pengiriman gampang team tokopedia membantu,Bagus sistem mudah pengiriman gampang team tokopedia membantu
6784,Mayan,Mayan
6785,best thing world fine guess search engine great tho,search engine great tho
6786,sukses,sukses
6787,layanan fitur tokopoedia bagus akali,layanan fitur tokopoedia bagus akali
6788,Apps mudah gak lemotcrash ky yg sebelah,Apps mudah gak lemotcrash ky yg sebelah
6789,Kemudahan transaksi beserta diskon gopay,Kemudahan transaksi beserta diskon gopay
6790,Sip barang diterima sesuai pesanan,Sip barang diterima sesuai pesanan
6791,Seep mudah bayar pakai apapun,Seep mudah bayar pakai apapun
6792,Sering2 kasih poin,Sering2 kasih poin
6793,Respons cepat,Respons cepat
6794,Puas belanja Tokopedia,Puas belanja Tokopedia
6795,Toko oren jarang yg free ongkir Pertahankan tokped semoga 1,Pertahankan tokped semoga 1
6796,best ever,best ever
6797,belanja,belanja
6798,belanja,belanja
6799,Aehat,Aehat
6800,terbaik,terbaik
6801,Ga,Ga
6802,lengkap,lengkap
6803,Terimakasih belanja mudah,Terimakasih belanja mudah
6804,Puaaas,Puaaas
6805,promo cepat pengiriman,promo cepat pengiriman
6806,Recomended banget deh,Recomended banget deh
6807,User friendly,User friendly
6808,Easy access,Easy access
6809,Cepet mantaps,Cepet mantaps
6810,Kalo brand brand kaya merk baju parfum otomotif official nya kasih bintang 5 good job official brand mall biar kece,Kalo brand brand kaya merk baju parfum otomotif official nya kasih bintang 5 good job official brand mall biar kece
6811,Terimakasih tokped membantu banget top top,Terimakasih tokped membantu banget top top
6812,Kecewa banget pengguna setia tokopedia pengguna plus member diamond tiba2 langganan plus diberhentikan alasan yg kecewa berat sih langsung uninstall pindah sebelah ajalah recommend ecommerce anyone,Kecewa banget pengguna setia tokopedia pengguna plus member diamond tiba2 langganan plus diberhentikan alasan yg kecewa berat sih langsung uninstall pindah sebelah ajalah recommend ecommerce anyone
6813,pembayaran ok tokopedia promo cashbacknya terima kasih tokopedia,pembayaran ok tokopedia promo cashbacknya terima kasih tokopedia
6814,Salah ecommerce app solutif terpercaya,Salah ecommerce app solutif terpercaya
6815,Semoga memuaskan kedepan,Semoga memuaskan kedepan
6816,Alhamdulillah cepat,Alhamdulillah cepat
6817,good simple,good simple
6818,diskon,diskon
6819,Patform Tokopedia mudah unt menjual membeli,Patform Tokopedia mudah unt menjual membeli
6820,aplikasi ruwet,aplikasi ruwet
6821,Good fast,Good fast
6822,udah muncul Tokopedia pilihan terbaik kemudahan fitur gembar gembor promo nyata promo nya Mudah berjualan embel embel iklan CINTAI PRODUK INDONESIA MAJU BRAND LOKAL,Tokopedia pilihan terbaik
6823,puas belanja,puas belanja
6824,setia toko hijau semoga kedepannya,setia toko hijau semoga kedepannya
6825,Fiturnya mudah gak ribet csnya ramah kalo komplain barang cepat terpenting PROMONYA,Fiturnya mudah gak ribet csnya ramah kalo komplain barang cepat terpenting PROMONYA
6826,cashbacknya,cashbacknya
6827,Easy friendliest process,Easy friendliest process
6828,best,best
6829,Dah belanja pakai aplikasi Harga nya dipakai referensi,Harga nya dipakai referensi
6830,Mantap gabungan gopay tokopedia,Mantap gabungan gopay tokopedia
6831,Toped andalanque,Toped andalanque
6832,Puas banget tokopedia Seller feature nya mudah pakai kurir nya cepat,Seller feature nya mudah pakai kurir nya cepat
6833,semoga sukses,semoga sukses
6834,Well,Well
6835,easy use,easy use
6836,Makasih gratis ongkir harganya murah,Makasih gratis ongkir harganya murah
6837,Transaksi aman cashback,Transaksi aman cashback
6838,Good afternoon nacked,Good afternoon nacked
6839,handy hp,handy hp
6840,Checkout cepet,Checkout cepet
6841,Tokped nda salah,Tokped nda salah
6842,Lierrrr,Lierrrr
6843,Improvement bagus,Improvement bagus
6844,Nunggu komplaint cs suka penanganannya 121 jam nunggu CS nya Csnya gak kerja makan gaji buta gimana ya Pelayanannya buruk,Csnya gak kerja makan gaji buta gimana ya
6845,suka belanja tokped,suka belanja tokped
6846,Convenience place online shopping,Convenience place online shopping
6847,nan,nan
6848,bonus 100000 gopay coins gw hilang pas dipakai langsung hangus please dilamain cuman sebentar,pas dipakai langsung hangus
6849,Helpful Apps,Helpful Apps
6850,suka tokpd ga drama toko orange,suka tokpd ga drama toko orange
6851,Udah 2 voucher ga kepake udah bener payment dll co batalkan voucher nya ilang pengguna kecewa,Udah 2 voucher ga kepake udah bener payment dll co batalkan voucher nya ilang pengguna kecewa
6852,Really good app,Really good app
6853,Kerrn,Kerrn
6854,Mantabbbbssssssszzzzzz,Mantabbbbssssssszzzzzz
6855,Terimakasih kemudahan berbelanja,Terimakasih kemudahan berbelanja
6856,Andalan belanja online aplikasi user friendly promo seller bagus produk bagus,Andalan belanja online aplikasi user friendly promo seller bagus produk bagus
6857,membantu usaha,membantu usaha
6858,gopaylater mantul,gopaylater mantul
6859,Mantab pkoknya anjey hahaha,Mantab pkoknya anjey hahaha
6860,Semoga customers yg dirugikan menyenangkan Aamiin,Aamiin
6861,lot cash back,lot cash back
6862,membantu memenuhi kebutuhan,membantu memenuhi kebutuhan
6863,far memuaskan,far memuaskan
6864,Good applications,Good applications
6865,Marketplace terpercaya,Marketplace terpercaya
6866,Transaksi aman dana toko layak SARAN toko abal2 TUTUP AJA kecewa 231222 KUALITAS TOKO PEDIA MENURUN EVALUASI TOKO YG BERMASALAH bintang13 TUTUP AJA TOKO YG BERMASALAH menyebabkan CITRA BURUK TOKPEDAyooo perbaikii lagiiSEMANGAAT,SARAN toko abal2 TUTUP AJA kecewa 231222 KUALITAS TOKO PEDIA MENURUN
6867,User friendly pilihan metode pembayaran pengiriman pilihan merchant review pelanggan sangan memudahkan pilih toko produk terpercaya Tokopedia konsisten jasa keep Jaga kualitas konsistensi pelayanannya,Tokopedia konsisten jasa keep
6868,mengecewakan Tokopedia mendukung seller yg penipuan tindakan konsekuensi apapun Penyelesaian Tokped Care ga berguna berteletele penyelesaian Tokopedia mendukung hak perlindungan konsumen,Penyelesaian Tokped Care ga berguna berteletele penyelesaian Tokopedia mendukung hak perlindungan konsumen
6869,ok,ok
6870,best app e commerce buy anything want everything cheaper another e commerce,buy anything want everything cheaper another e commerce
6871,suka bgt pake tokped bnyk promonya,bnyk promonya
6872,Love ui ux,Love ui ux
6873,Sipp banget,Sipp banget
6874,Darkmode nya iOS Failed nih mohon diperbaiki,Darkmode nya iOS Failed nih mohon diperbaiki
6875,Prosesnya cepat mudah,Prosesnya cepat mudah
6876,Fast respon brg berkualitas sesuai harga recomend cari resleting next order,Fast respon brg berkualitas sesuai harga recomend cari resleting next order
6877,Order barang sesuai peraturan cashback diambil alasan melanggar disuruh ngasih bukti pelanggaran gak disuruh baca syarat ketentuan solusi KECEWA PELAYANAN TOKOPEDIA,Order barang sesuai peraturan cashback diambil alasan melanggar disuruh ngasih bukti pelanggaran gak disuruh baca syarat ketentuan solusi KECEWA PELAYANAN TOKOPEDIA
6878,Prakrit belanja menghemat,Prakrit belanja menghemat
6879,Oke sip,Oke sip
6880,Tokped tokcer,Tokped tokcer
6881,Tokopedia mantappo,Tokopedia mantappo
6882,Mudah cepat gratis ongkir top,Mudah cepat gratis ongkir top
6883,tampilan tokped simple gk bingung official store dll,tampilan tokped simple gk bingung official store dll
6884,,
6885,bagus membantu,bagus membantu
6886,persaingan ongkir sehat,persaingan ongkir sehat
6887,freeze force close lemot,freeze force close lemot
6888,Belanja ga ribet pilih barang pilih harga pilih pengiriman tunggu tunggu dirumah kendala khawatir dibantu admin toped thanks,Belanja ga ribet pilih barang pilih harga pilih pengiriman tunggu tunggu dirumah kendala khawatir dibantu admin toped thanks
6889,App olshop ter best pokoknya Indonesia,App olshop ter best pokoknya Indonesia
6890,Biar belanja,Biar belanja
6891,Mantapss,Mantapss
6892,Kemudahan bertransaksi produkproduk ditawarkan bervariasi voucher gratis ongkir ditawarkan membantu,Kemudahan bertransaksi produkproduk ditawarkan bervariasi voucher gratis ongkir ditawarkan membantu
6893,gak pake ribet,gak pake ribet
6894,pelanggsn setia,pelanggsn setia
6895,CS nya solutif,CS nya solutif
6896,Best best best,Best best best
6897,aplikasi jual beli Tokopedia Terbaik,Terbaik
6898,Mantap terbaik,Mantap terbaik
6899,Pengembangan UI mudah,Pengembangan UI mudah
6900,Overall OK cuman untun kurir pilihan gratis ongkir ditambah Thanks,Thanks
6901,MAntap,MAntap
6902,terima kasih,terima kasih
6903,belanja uda CO diskon murah dibatalintapi stok masi,belanja uda CO diskon murah dibatalintapi stok masi
6904,Cashback banget engga masuk diskon dibatalkan gratis ongkir ga digabung promo blokir akun Buruk banget ni aplikasi Mending pindah aja Shopee Lazada gratis ongkir digabung promo anti begal2 club,Mending pindah aja Shopee Lazada gratis ongkir digabung promo anti begal2 club
6905,Tokopedia membantu,nan
6906,Ecommerce terbaik sih bagus dr toko sebelah settingannya simple ga ribet seller buyer,Ecommerce terbaik sih bagus dr toko sebelah settingannya simple ga ribet seller buyer
6907,Like,Like
6908,pilihan pembayaran memudahkan proses bayar,pilihan pembayaran memudahkan proses bayar
6909,Rispeekk local pride boss,Rispeekk local pride boss
6910,membantu kredivo sukaa,membantu kredivo sukaa
6911,helpful nice application,helpful nice application
6912,Toko pedia top pokoknya pesanan dibatalakan dana langsung,Toko pedia top pokoknya pesanan dibatalakan dana langsung
6913,update improve,update improve
6914,terdepan mantapp,terdepan mantapp
6915,Love toped apps always rely Cuman biaya penanganan nih hiks,Love toped apps always rely Cuman biaya penanganan nih hiks
6916,Ok banget,Ok banget
6917,Mantaapp langsung,Mantaapp langsung
6918,jualan bagus,jualan bagus
6919,TOKOPEDIA membantu tdk repot bermacet ria utk membeli barang2 yg perlukan Jasa Pengiriman diperhatikan bayar ONGKIR spy sesuai dg yg dibayarkan bayar2 yg Token PLN TV Cable dll membantu Bravo Tokopedia,Jasa Pengiriman diperhatikan bayar ONGKIR spy sesuai dg yg dibayarkan
6920,Help full banget,Help full banget
6921,tokped user interfacenya gampang cerna mager liat iklan,tokped user interfacenya gampang cerna mager liat iklan
6922,Cuman sayang promonya pake CC,Cuman sayang promonya pake CC
6923,Sip,Sip
6924,Market online utama tokopedia kecewa tokped Sukses tokped,kecewa tokped
6925,Bice,Bice
6926,Best shopping apps ever,Best shopping apps ever
6927,Bagusssss,Bagusssss
6928,pelit promo syaratnya kebanyakan,pelit promo syaratnya kebanyakan
6929,Perfect,Perfect
6930,gangguan search,gangguan search
6931,Pelayanan yg semoga terbaik,Pelayanan yg semoga terbaik
6932,Jarang promo,Jarang promo
6933,User friendly lots feature,User friendly lots feature
6934,Aplikasi online shop yg terpercaya mudah mengakomodasi komplain produk solusi2nya,Aplikasi online shop yg terpercaya mudah mengakomodasi komplain produk solusi2nya
6935,Ok banget belanja OLdi toko pedia,Ok banget belanja OLdi toko pedia
6936,Best,nan
6937,keep kerjasama dgn produsen produk negeri ditingkatkan memperluas jaringan tokped memperbanyak opsi barang pembeli,keep kerjasama dgn produsen produk negeri ditingkatkan memperluas jaringan tokped memperbanyak opsi barang pembeli
6938,Interface simpel cocok memudahkan,Interface simpel cocok memudahkan
6939,bermanfaat,bermanfaat
6940,Gratis ongkir terpercaya nya kendala penipuan tokopedia 100 bertanggung terbukti dirugikan,Gratis ongkir terpercaya nya kendala penipuan tokopedia 100 bertanggung terbukti dirugikan
6941,Enak pake tokped memuaskan adakredivo yg membantu jaya tokped kredivo jaya jaya jayaaa,Enak pake tokped memuaskan adakredivo yg membantu jaya tokped kredivo jaya jaya jayaaa
6942,Casback,Casback
6943,pembelian cancel otomatis sistem pengembalian dana rekening saldo tokped lakukan pencairan ketentuan pemeriksaan 2x24 jam diberitahukan interface dana dicairkan pembeli penjual tau sistem pencairan Uangnya krna beli laptop gaming kehabisa laptop karna pencairan dana ribet sungguh mengecewakan jalan cs reply chat berulang2 reply Kecewa berat thx,pembelian cancel otomatis sistem pengembalian dana rekening saldo tokped lakukan pencairan ketentuan pemeriksaan 2x24 jam diberitahukan interface dana dicairkan pembeli penjual tau sistem pencairan Uangnya krna beli laptop gaming kehabisa laptop karna pencairan dana ribet sungguh mengecewakan jalan cs reply chat berulang2 reply Kecewa berat thx
6944,Totally satisfied,Totally satisfied
6945,Wow keren toped gratis ongkirnya,Wow keren toped gratis ongkirnya
6946,Toko pedia,Toko pedia
6947,Penarikan saldo cepat terbuka,Penarikan saldo cepat terbuka
6948,Good apps Easy use,Easy use
6949,ok ok aja penjual responsif bangetsssss,ok ok aja penjual responsif bangetsssss
6950,Langganan boss,Langganan boss
6951,Belanjanya pakai Go Pay aja,Belanjanya pakai Go Pay aja
6952,Wendy12345678,Wendy12345678
6953,Keren praktis 1 aja tangan,Keren praktis 1 aja tangan
6954,Never disappointed app,Never disappointed app
6955,Suka banget gratis ongkir,Suka banget gratis ongkir
6956,Mancing mania mantap,Mancing mania mantap
6957,Da best pokoknya,Da best pokoknya
6958,Membantu banget,Membantu banget
6959,Limit cicilan smakin bertambah terimakasih tokped,Limit cicilan smakin bertambah terimakasih tokped
6960,Uhuyyyy,Uhuyyyy
6961,Recommended,Recommended
6962,Semoga cashback nya hehehe jaya toko pedia,Semoga cashback nya hehehe jaya toko pedia
6963,Marketplace yg kugunakan berbelanja online Aman cepat pilihannya,Aman cepat pilihannya
6964,User interface nyaman,User interface nyaman
6965,ok,ok
6966,kode2 diskonnya sgt membantu thanks,kode2 diskonnya sgt membantu thanks
6967,bagus toko oren,bagus toko oren
6968,Easy practicable,Easy practicable
6969,layanan tokopedia puas mantab,layanan tokopedia puas mantab
6970,Tingkatkan layanan,Tingkatkan layanan
6971,kebutuhan didalam sentuhan jari,kebutuhan didalam sentuhan jari
6972,Thank Syuka banget belanja dimari,Syuka banget belanja dimari
6973,good banget,good banget
6974,cashback sukaaa hehehe,cashback sukaaa hehehe
6975,Tokopedia good application online shopping number one platform Online Shopping top mind store,number one platform Online Shopping top mind store
6976,Aplikasi yg berguna disaat pandemi,Aplikasi yg berguna disaat pandemi
6977,Mantap mudah promo,Mantap mudah promo
6978,Grafisnya bagus ga norak ga bikin pusing pas bacanya,Grafisnya bagus ga norak ga bikin pusing pas bacanya
6979,great experience using tokped,great experience using tokped
6980,support landscape orientation nice,support landscape orientation nice
6981,Nice one,Nice one
6982,Marketplace terbaik promo diskon,Marketplace terbaik promo diskon
6983,membantu,membantu
6984,Tokopedia best marketplace apps,Tokopedia best marketplace apps
6985,Toooop banget puas percaya make nya,Toooop banget puas percaya make nya
6986,Nice app always use app buy things locally,Nice app always use app buy things locally
6987,nyaman sihijau,nyaman sihijau
6988,Belanja pakai tokped krn lengkap pakai promo gopay gopay later gopay coins,Belanja pakai tokped krn lengkap pakai promo gopay gopay later gopay coins
6989,pakai tokopedia market place yg hapus hapusin aplikasi nya,pakai tokopedia market place yg hapus hapusin aplikasi nya
6990,Good apps far,Good apps far
6991,Olshop nya lelaki,Olshop nya lelaki
6992,Sabi,Sabi
6993,Mudah cepat bonus,Mudah cepat bonus
6994,Easy use lotsa promotions,Easy use lotsa promotions
6995,Stay best,nan
6996,Pilihan barangnya tingkat membingungkan setting akun alamat dll ribet kasih shortcut akses setting account Maju Toped,Maju Toped
6997,Terfavorit,Terfavorit
6998,Gas,Gas
6999,thank,thank
7000,Belanja mudah bonusnya,Belanja mudah bonusnya
